step,mouse_x,mouse_y,cat_x,cat_y,vision_slice,brain_energy,output_energy,output_action,move_dist
411,10,8,0,0,1,6,1,1,1
412,8,3,0,0,1,6,1,1,1
413,6,8,0,0,0,7,0,0,0
414,11,9,0,0,0,8,0,0,0
415,10,14,0,0,0,8,0,0,0
416,11,9,0,0,1,7,2,1,2
417,6,11,0,0,1,7,1,1,1
418,2,9,0,0,1,6,2,1,1
419,1,4,0,0,1,6,1,1,1
420,97,2,0,0,0,7,0,0,0
421,100,98,0,0,1,6,2,1,1
422,5,98,0,0,0,7,0,0,0
423,1,95,0,0,1,7,1,1,1
424,96,97,0,0,1,7,1,1,1
425,96,2,0,0,0,8,0,0,0
426,0,99,0,0,1,8,1,1,1
427,100,94,0,0,1,8,1,1,1
428,95,93,0,0,1,8,1,1,1
429,0,93,0,0,0,9,0,0,0
430,98,98,0,0,1,9,1,1,1
431,2,95,0,0,1,8,2,1,1
432,99,91,0,0,1,8,1,1,1
433,95,89,0,0,0,9,0,0,0
434,94,94,0,0,1,9,1,1,1
435,89,96,0,0,1,8,2,1,1
436,91,0,0,0,2,8,1,2,1
437,95,97,0,0,1,8,1,1,1
438,95,2,0,0,4,8,1,4,1
439,98,6,0,0,0,9,0,0,0
440,93,4,0,0,0,10,0,0,0
441,94,99,0,0,1,10,1,1,1
442,96,4,0,0,1,10,1,1,1
443,1,1,0,0,1,9,2,1,1
444,96,2,0,0,1,8,2,1,1
445,99,6,0,0,1,8,1,1,1
446,4,7,0,0,1,8,1,1,1
447,99,9,0,0,0,9,0,0,0
448,2,5,0,0,1,9,1,1,1
449,6,9,0,5,7,9,1,7,1
450,5,4,0,5,0,10,0,0,0
451,4,99,0,0,1,9,2,1,1
452,0,96,0,0,0,10,0,0,0
453,96,99,0,0,1,10,1,1,1
454,92,97,0,0,1,9,2,1,1
455,90,92,0,0,0,10,0,0,0
456,92,88,0,0,1,10,1,1,1
457,96,90,0,0,1,10,1,1,1
458,1,91,0,0,0,11,0,0,0
459,99,95,0,0,1,10,2,1,1
460,99,90,0,0,1,9,2,1,1
461,95,88,0,0,1,9,1,1,1
462,93,93,0,0,1,9,1,1,1
463,88,92,0,0,0,10,0,0,0
464,84,90,0,0,4,10,1,4,1
465,89,92,0,0,1,10,1,1,1
466,84,89,0,0,1,10,1,1,1
467,89,86,0,0,1,9,2,1,1
468,87,81,0,0,1,8,2,1,1
469,86,77,0,0,1,8,1,1,1
470,88,72,0,0,1,7,2,1,1
471,84,71,0,0,0,8,0,0,0
472,79,71,5,0,3,8,1,3,1
473,84,71,0,0,1,7,2,1,1
474,84,66,0,0,1,7,1,1,1
475,80,63,0,0,0,8,0,0,0
476,85,64,0,0,1,8,1,1,1
477,89,62,0,0,1,8,1,1,1
478,84,62,0,0,1,8,1,1,1
479,88,65,0,0,1,8,1,1,1
480,84,62,0,0,1,8,1,1,1
481,88,65,0,0,1,7,2,1,1
482,93,64,5,0,3,7,1,3,1
483,89,67,5,0,0,8,0,0,0
484,93,69,0,0,1,8,1,1,1
485,95,74,0,0,1,7,2,1,1
486,94,69,5,0,3,7,1,3,1
487,98,67,5,0,0,8,0,0,0
488,99,72,0,0,1,8,1,1,1
489,94,72,0,0,1,8,1,1,1
490,89,73,0,0,1,8,1,1,1
491,91,77,0,0,1,7,2,1,1
492,89,73,0,0,0,8,0,0,0
493,88,68,0,0,1,7,2,1,1
494,91,64,5,0,3,7,1,3,1
495,96,64,5,0,0,8,0,0,0
496,91,62,0,0,1,7,2,1,1
497,96,62,0,0,1,6,2,1,1
498,97,67,0,0,0,7,0,0,0
499,1,70,0,0,0,8,0,0,0
500,4,66,0,0,1,8,1,1,1
501,9,66,0,0,1,8,1,1,1
502,11,70,0,0,1,8,1,1,1
503,15,74,0,0,1,8,1,1,1
504,19,70,0,0,1,8,1,1,1
505,22,74,0,0,4,8,1,4,1
506,19,70,0,0,1,8,1,1,1
507,17,75,0,0,1,8,1,1,1
508,22,76,0,0,0,9,0,0,0
509,26,73,5,0,5,9,1,5,1
510,22,70,10,0,3,9,1,3,1
511,26,68,10,0,0,10,0,0,0
512,22,65,5,0,1,9,2,1,1
513,23,60,0,5,6,9,1,6,1
514,22,55,0,5,0,10,0,0,0
515,21,60,0,0,1,10,1,1,1
516,25,57,0,0,1,10,1,1,1
517,29,59,0,0,1,9,2,1,1
518,33,62,5,0,3,9,1,3,1
519,33,57,10,0,3,9,1,3,1
520,36,61,5,0,1,8,2,1,1
521,41,59,5,0,0,9,0,0,0
522,36,59,0,0,1,8,2,1,1
523,38,54,0,0,1,8,1,1,1
524,34,57,5,0,3,8,1,3,1
525,34,62,0,0,1,6,2,1,1
526,39,61,5,0,3,6,1,3,1
527,43,58,5,0,0,7,0,0,0
528,39,61,10,0,3,6,1,3,1
529,39,56,15,0,3,6,1,3,1
530,42,59,15,0,0,7,0,0,0
531,38,62,10,0,1,6,2,1,1
532,41,58,10,0,0,7,0,0,0
533,40,63,10,0,0,8,0,0,0
534,40,68,10,0,2,8,1,2,1
535,45,67,5,0,1,8,1,1,1
536,41,70,10,0,3,8,1,3,1
537,45,67,5,0,1,7,2,1,1
538,50,67,5,0,0,7,0,0,0
539,52,62,10,0,3,7,1,3,1
540,57,61,15,0,3,7,1,3,1
541,62,59,10,0,1,6,2,1,1
542,57,61,15,0,3,6,1,3,1
543,61,57,10,0,1,6,1,1,1
544,65,61,5,0,1,5,2,1,1
545,60,60,5,0,0,6,0,0,0
546,65,61,5,0,0,7,0,0,0
547,60,60,10,0,3,7,1,3,1
548,55,60,15,0,3,7,1,3,1
549,50,59,10,0,1,6,2,1,1
550,47,63,15,0,3,6,1,3,1
551,42,61,20,0,3,6,1,3,1
552,46,58,15,0,1,6,1,1,1
553,48,53,10,0,1,6,1,1,1
554,52,50,5,0,1,6,1,1,1
555,47,49,5,0,0,7,0,0,0
556,50,45,5,0,0,8,0,0,0
557,51,49,10,0,3,8,1,3,1
558,47,46,10,0,0,9,0,0,0
559,43,48,15,0,3,9,1,3,1
560,46,45,20,0,3,9,1,3,1
561,41,46,15,0,1,8,2,1,1
562,42,41,20,0,3,8,1,3,1
563,39,38,20,0,2,8,1,2,1
564,36,42,25,0,3,8,1,3,1
565,38,38,20,0,1,8,1,1,1
566,37,43,25,0,3,8,1,3,1
567,38,38,25,0,0,9,0,0,0
568,36,34,20,0,1,8,2,1,1
569,39,29,15,0,1,7,2,1,1
570,34,28,15,0,0,8,0,0,0
571,35,33,10,0,1,8,1,1,1
572,31,31,5,0,1,7,2,1,1
573,34,35,10,0,3,7,1,3,1
574,37,39,10,0,0,8,0,0,0
575,38,34,5,0,1,7,2,1,1
576,39,38,0,0,1,7,1,1,1
577,44,36,0,0,0,8,0,0,0
578,41,41,0,0,0,9,0,0,0
579,42,36,5,0,3,9,1,3,1
580,42,31,0,0,1,8,2,1,1
581,43,35,5,0,3,8,1,3,1
582,41,40,0,0,1,7,2,1,1
583,45,38,5,0,3,7,1,3,1
584,49,42,5,0,0,8,0,0,0
585,45,44,0,0,1,8,1,1,1
586,50,45,5,0,3,8,1,3,1
587,49,40,5,0,0,9,0,0,0
588,48,45,10,0,3,9,1,3,1
589,45,49,15,0,3,9,1,3,1
590,47,53,10,0,1,8,2,1,1
591,42,53,15,0,3,8,1,3,1
592,46,50,10,0,1,8,1,1,1
593,48,55,5,0,1,7,2,1,1
594,48,50,5,0,0,8,0,0,0
595,44,51,0,0,1,7,2,1,1
596,48,54,0,0,0,8,0,0,0
597,47,59,0,0,1,7,2,1,1
598,52,60,0,0,0,8,0,0,0
599,50,55,0,0,2,7,2,2,1
600,45,57,0,0,0,8,0,0,0
601,43,62,0,0,1,8,1,1,1
602,47,64,5,0,3,8,1,3,1
603,52,66,5,0,0,9,0,0,0
604,48,69,5,0,0,10,0,0,0
605,44,72,0,0,1,9,2,1,1
606,40,76,5,0,3,9,1,3,1
607,45,78,5,0,0,10,0,0,0
608,42,82,0,0,1,9,2,1,1
609,37,83,0,0,1,8,2,1,1
