bar,mouse_x,mouse_y,cat_x,cat_y,vision_slice,brain_energy,output_energy,output_action,move_dist
288,26,66,0,0,1,5,1,1,1
289,21,67,0,0,1,5,1,1,1
290,25,69,0,0,1,5,1,1,1
291,26,74,0,0,1,5,1,1,1
292,24,69,0,0,1,5,1,1,1
293,28,67,0,0,1,5,1,1,1
294,24,70,0,0,1,5,1,1,1
295,27,74,0,0,1,5,1,1,1
296,28,69,0,0,1,5,1,1,1
297,24,72,0,0,1,5,1,1,1
298,23,77,0,0,1,5,1,1,1
299,24,72,0,0,1,4,2,1,1
300,29,70,0,0,1,4,1,1,1
301,29,65,0,0,1,4,1,1,1
302,24,67,0,0,1,4,1,1,1
303,25,72,0,0,1,4,1,1,1
304,29,70,0,0,1,4,1,1,1
305,28,75,0,0,1,4,1,1,1
306,24,72,0,0,1,4,1,1,1
307,24,67,0,0,1,4,1,1,1
308,27,71,0,0,1,4,1,1,1
309,26,66,0,0,1,4,1,1,1
310,25,61,0,0,1,4,1,1,1
311,28,65,0,0,1,4,1,1,1
312,33,65,0,0,1,4,1,1,1
313,29,63,0,0,1,4,1,1,1
314,26,58,0,0,1,4,1,1,1
315,25,63,0,0,1,4,1,1,1
316,26,58,0,0,1,4,1,1,1
317,30,61,0,0,1,4,1,1,1
318,26,65,0,0,1,4,1,1,1
319,24,60,0,0,1,4,1,1,1
320,29,63,0,0,1,4,1,1,1
321,26,67,0,0,1,4,1,1,1
322,21,66,0,0,1,4,1,1,1
323,24,62,0,0,1,4,1,1,1
324,20,65,0,0,1,4,1,1,1
325,22,61,0,0,1,4,1,1,1
326,18,63,0,0,1,4,1,1,1
327,14,66,0,0,1,4,1,1,1
328,14,71,0,0,1,4,1,1,1
329,9,71,0,0,1,4,1,1,1
330,4,71,0,0,1,4,1,1,1
331,5,75,0,0,1,4,1,1,1
332,2,71,0,0,1,4,1,1,1
333,98,73,0,0,1,4,1,1,1
334,93,74,0,0,1,4,1,1,1
335,95,69,0,0,1,4,1,1,1
336,92,65,0,0,1,4,1,1,1
